game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
79,Tuesday Jun 25,TBR,L,4,9,,45-34,2,6,Gibson,Snell,,3:03,N,31963,1.33,-, @ MIN,Blake Snell (L),Kyle Gibson (R),L -107,O 9.5
78,Sunday Jun 23,TBR,W,8,2,,45-33,2,4.5,Yarbrough,Anderson,,2:58,D,17006,1.38,+, @ OAK,Ryne Stanek (R),Brett Anderson (L),W 118,O 9
77,Saturday Jun 22,TBR,L,2,4,,44-33,2,5.5,Petit,Castillo,Hendriks,3:02,D,26623,1.39,-, @ OAK,Yonny Chirinos (R),Mike Fiers (R),L -103,U 9
76,Friday Jun 21,TBR,W,5,3,,44-32,2,4.5,Pruitt,Anderson,Pagan,3:20,N,16126,1.4,+, @ OAK,Andrew Kittredge (R),Tanner Anderson (R),W -104,U 9
75,Thursday Jun 20,TBR,L-wo,4,5,,43-32,2,4.5,Trivino,Castillo,,3:01,N,12351,1.42,----, @ OAK,Charlie Morton (R),Frankie Montas (R),L -102,O 7.5
74,Wednesday Jun 19,TBR,L,1,12,,43-31,2,3.5,Sabathia,Snell,,3:21,D,41144,1.81,---, @ NYY,Blake Snell (L),CC Sabathia (L),L -122,O 9
73,Tuesday Jun 18,TBR,L,3,6,,43-30,2,2.5,Happ,Roe,Chapman,3:09,N,40479,1.87,--, @ NYY,Ryne Stanek (R),J.A. Happ (L),L 158,U 9.5
72,Monday Jun 17,TBR,L,0,3,,43-29,2,1.5,Tanaka,Chirinos,,2:34,N,39042,1.83,-, @ NYY,Yonny Chirinos (R),Masahiro Tanaka (R),L 120,U 9.5
71,Sunday Jun 16,TBR,W,6,5,,43-28,2,0.5,Poche,Canning,Castillo,3:07,D,20508,1.36,+, LAA,Ryne Stanek (R),Griffin Canning (R),W -132,O 8.5
70,Saturday Jun 15,TBR,L,3,5,,42-28,2,0.5,Suarez,Morton,Robles,2:40,D,22320,1.27,-, LAA,Charlie Morton (R),Jose Suarez (L),L -194,P 8
69,Friday Jun 14,TBR,W,9,4,,42-27,1,up 0.5,Pagan,Buttrey,,3:56,N,21598,1.33,+, LAA,Blake Snell (L),Andrew Heaney (L),W -165,O 7.5
68,Thursday Jun 13,TBR,L,3,5,,41-27,2,0.5,Skaggs,Yarbrough,Bedrosian,2:55,N,15291,1.26,---, LAA,Ryan Yarbrough (L),Tyler Skaggs (L),L -142,U 9
67,Wednesday Jun 12,TBR,L,2,6,,41-26,2,0.5,Hendriks,Kolarek,,3:22,D,17946,1.27,--, OAK,Yonny Chirinos (R),Brett Anderson (L),L -154,U 8.5
66,Tuesday Jun 11,TBR,L,3,4,,41-25,1,Tied,Fiers,Pagan,Treinen,2:47,N,11132,1.21,-, OAK,Ryne Stanek (R),Mike Fiers (R),L -152,U 9
65,Monday Jun 10,TBR,W,6,2,,41-24,1,up 0.5,Morton,Anderson,,2:35,N,16091,1.24,++, OAK,Charlie Morton (R),Tanner Anderson (R),W -222,U 9
64,Sunday Jun 9,TBR,W,6,1,,40-24,1,Tied,Snell,Rodriguez,,3:32,D,34643,1.42,+, @ BOS,Blake Snell (L),Eduardo Rodriguez (L),W -129,U 8.5
63,Saturday Jun 8 (2),TBR,L,1,5,,39-24,1,Tied,Price,Poche,,3:21,N,37048,1.33,-, @ BOS,Ryne Stanek (R),David Price (L),L 146,U 9
62,Saturday Jun 8 (1),TBR,W,9,2,,39-23,1,Tied,Yarbrough,Smith,,3:33,D,35564,1.43,++++, @ BOS,Ryan Yarbrough (L),Josh A. Smith (R),W -113,O 10.5
61,Friday Jun 7,TBR,W,5,1,,38-23,2,0.5,Chirinos,Porcello,,2:43,N,36803,1.44,+++, @ BOS,Yonny Chirinos (R),Rick Porcello (R),W -100,U 10
60,Thursday Jun 6,TBR,W,6,1,,37-23,2,1.5,Beeks,Norris,,3:08,D,21442,1.23,++, @ DET,Ryne Stanek (R),Daniel Norris (L),W -179,U 9
59,Wednesday Jun 5,TBR,W,4,0,,36-23,2,1.5,Morton,Turnbull,,2:44,N,14272,1.26,+, @ DET,Charlie Morton (R),Spencer Turnbull (R),W -194,U 8.5
58,Tuesday Jun 4,TBR,L,6,9,,35-23,2,2.5,Carpenter,Snell,Greene,3:03,N,15420,1.22,----, @ DET,Blake Snell (L),Ryan Carpenter (L),L -253,O 8.5
57,Sunday Jun 2,TBR,L,7,9,,35-22,2,2.5,Odorizzi,Yarbrough,Rogers,3:24,D,14616,1.22,---, MIN,Ryan Yarbrough (L),Jake Odorizzi (R),L -117,O 8.5
