game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
116,Friday Aug 9,HOU,W,3,2,,76-40,1,up 9.5,Miley,Bundy,Osuna,2:58,N,19407,0.29,+++++++,†@ BAL,Wade Miley†(L),Dylan Bundy†(R),W†-262,U†10.5
115,Wednesday Aug 7,HOU,W,14,3,,75-40,1,up 9.5,Cole,Lambert,,3:05,D,35566,0.42,++++++,†COL,Gerrit Cole†(R),Peter Lambert†(R),W†-350,O†8.5
114,Tuesday Aug 6,HOU,W,11,6,,74-40,1,up 8.5,Greinke,Gonzalez,,3:09,N,43243,0.43,+++++,†COL,Zack Greinke†(R),German Marquez†(R),W†-216,O†8.5
113,Sunday Aug 4,HOU,W,3,1,,73-40,1,up 8.0,Verlander,Milone,Osuna,2:56,D,39667,0.42,++++,†SEA,Justin Verlander†(R),Sam Tuivailala†(R),W†-414,U†9
112,Saturday Aug 3,HOU,W,9,0,,72-40,1,up 8.0,Sanchez,Gonzales,,3:02,N,37059,0.48,+++,†SEA,Aaron Sanchez†(R),Marco Gonzales†(L),W†-212,U†10
111,Friday Aug 2,HOU,W,10,2,,71-40,1,up 8.0,Miley,Kikuchi,,2:57,N,41444,0.52,++,†SEA,Wade Miley†(L),Yusei Kikuchi†(L),W†-273,O†10
110,Thursday Aug 1,HOU,W,7,1,,70-40,1,up 7.5,Cole,Salazar,,3:10,N,21536,0.63,+,†@ CLE,Gerrit Cole†(R),Danny Salazar†(R),W†-193,U†9
109,Wednesday Jul 31,HOU,L,4,10,,69-40,1,up 7.5,Plesac,Urquidy,,3:10,N,23961,0.55,-,†@ CLE,Jose Urquidy†(R),Zach Plesac†(R),L†-149,O†10
108,Tuesday Jul 30,HOU,W,2,0,,69-39,1,up 7.5,Verlander,Bieber,Osuna,2:44,N,21589,0.62,+++,†@ CLE,Justin Verlander†(R),Shane Bieber†(R),W†-136,U†8.5
107,Sunday Jul 28,HOU,W,6,2,,68-39,1,up 7.5,Miley,Hudson,,3:24,D,46714,0.61,++,†@ STL,Wade Miley†(L),Dakota Hudson†(R),W†-128,U†9
106,Saturday Jul 27,HOU,W,8,2,,67-39,1,up 7.5,Cole,Ponce de Leon,,3:07,N,46518,0.71,+,†@ STL,Gerrit Cole†(R),Daniel Ponce de Leon†(R),W†-203,O†8.5
105,Friday Jul 26,HOU,L,3,5,,66-39,1,up 7.5,Miller,Pressly,Martinez,3:09,N,44724,0.68,-,†@ STL,Jose Urquidy†(R),Jack Flaherty†(R),L†-116,U†9
104,Wednesday Jul 24,HOU,W,4,2,,66-38,1,up 7.0,Verlander,Bassitt,Osuna,2:42,D,41838,1.26,+,†OAK,Justin Verlander†(R),Chris Bassitt†(R),W†-206,U†9
103,Tuesday Jul 23,HOU,L,3,4,11,65-38,1,up 6.0,Petit,McHugh,,3:14,N,39204,1.06,-,†OAK,Wade Miley†(L),Mike Fiers†(R),L†-157,U†9.5
102,Monday Jul 22,HOU,W,11,1,,65-37,1,up 7.0,Cole,Bailey,,2:56,N,41534,1.25,++++++,†OAK,Gerrit Cole†(R),Homer Bailey†(R),W†-244,O†9
101,Sunday Jul 21,HOU,W,5,3,,64-37,1,up 6.0,Armenteros,Lynn,Osuna,3:08,D,37655,0.95,+++++,†TEX,Rogelio Armenteros†(R),Lance Lynn†(R),W†-138,U†9
100,Saturday Jul 20,HOU,W,6,1,,63-37,1,up 5.0,Urquidy,Jurado,,2:25,N,41643,1.03,++++,†TEX,Jose Urquidy†(R),Ariel Jurado†(R),W†-193,U†10
99,Friday Jul 19,HOU,W,4,3,,62-37,1,up 5.0,Verlander,Minor,Osuna,2:59,N,42287,1.1,+++,†TEX,Justin Verlander†(R),Mike Minor†(L),W†-212,U†8
98,Thursday Jul 18,HOU,W,6,2,,61-37,1,up 5.0,Miley,Harvey,,2:35,N,35928,1.23,++,†@ LAA,Wade Miley†(L),Matt Harvey†(R),W†-149,U†10.5
97,Wednesday Jul 17,HOU,W,11,2,,60-37,1,up 4.0,Cole,Pena,,2:57,N,35738,1.36,+,†@ LAA,Gerrit Cole†(R),Felix Pena†(R),W†-196,O†8.5
96,Tuesday Jul 16,HOU,L,2,7,,59-37,1,up 4.0,Ramirez,Rondon,,3:33,N,42678,1.22,--,†@ LAA,Hector Rondon†(R),Andrew Heaney†(L),L†-130,U†9.5
95,Monday Jul 15,HOU,L,6,9,,59-36,1,up 5.0,Anderson,Valdez,Robles,3:25,N,35431,1.11,-,†@ LAA,Josh James†(R),Griffin Canning†(R),L†-128,O†9.5
94,Sunday Jul 14,HOU,W,12,4,,59-35,1,up 5.5,Verlander,Jurado,,3:40,D,27916,1.26,++,†@ TEX,Justin Verlander†(R),Ariel Jurado†(R),W†-211,O†10.5
93,Saturday Jul 13,HOU,W,7,6,11,58-35,1,up 5.5,James,Martin,Osuna,4:09,N,42452,1.46,+,†@ TEX,Wade Miley†(L),Mike Minor†(L),W†-132,O†10
92,Friday Jul 12,HOU,L-wo,8,9,,57-35,1,up 5.5,Kelley,Osuna,,3:07,N,32322,1.34,--,†@ TEX,Gerrit Cole†(R),Jesse Chavez†(R),L†-215,O†9.5
91,Thursday Jul 11,HOU,L,0,5,,57-34,1,up 6.5,Lynn,Valdez,,3:02,N,37964,1.11,-,†@ TEX,Framber Valdez†(L),Lance Lynn†(R),L†-124,U†10.5
90,Sunday Jul 7,HOU,W-wo,11,10,10,57-33,1,up 7.0,Pressly,Cole,,4:49,D,37264,1.06,++,†LAA,Jose Urquidy†(R),Jose Suarez†(L),W†-166,O†10
89,Saturday Jul 6,HOU,W,4,0,,56-33,1,up 7.0,Cole,Heaney,,2:44,N,39470,1.14,+,†LAA,Gerrit Cole†(R),Andrew Heaney†(L),W†-241,U†8.5
88,Friday Jul 5,HOU,L,4,5,,55-33,1,up 6.0,Pena,Verlander,Robles,2:54,N,41219,1.05,-,†LAA,Justin Verlander†(R),Noe Ramirez†(R),L†-231,P†9
87,Wednesday Jul 3,HOU,W,4,2,,55-32,1,up 7.5,Miley,Lambert,Osuna,2:41,N,48308,1.04,+++++,†@ COL,Wade Miley†(L),Peter Lambert†(R),W†-131,U†14.5
86,Tuesday Jul 2,HOU,W,9,8,,54-32,1,up 6.5,Harris,McGee,Osuna,3:27,N,47864,1.08,++++,†@ COL,Jose Urquidy†(R),German Marquez†(R),W†121,O†13
85,Sunday Jun 30,HOU,W,6,1,,53-32,1,up 6.5,Cole,Gonzales,,2:52,D,32485,1.16,+++,†SEA,Gerrit Cole†(R),Marco Gonzales†(L),W†-264,U†8.5
84,Saturday Jun 29,HOU,W-wo,6,5,10,52-32,1,up 5.5,Devenski,Elias,,3:38,N,35082,1.31,++,†SEA,Justin Verlander†(R),Yusei Kikuchi†(L),W†-313,O†9
83,Friday Jun 28,HOU,W-wo,2,1,10,51-32,1,up 4.5,Harris,Festa,,3:27,N,32828,1.27,+,†SEA,Wade Miley†(L),Matt Carasiti†(R),W†-226,U†9.5
82,Thursday Jun 27,HOU,L,0,10,,50-32,1,up 4.5,Musgrove,Peacock,,2:51,D,38943,1.19,--,†PIT,Brad Peacock†(R),Joe Musgrove†(R),L†-194,O†9.5
81,Wednesday Jun 26,HOU,L,2,14,,50-31,1,up 5.5,Agrazal,Valdez,,3:17,N,39312,1.05,-,†PIT,Framber Valdez†(L),Dario Agrazal†(R),L†-236,O†9.5
