game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
58,Tuesday Jun 4,MIA,W,16,0,,22-36,5,10.5,Lopez,Anderson,,3:12,N,25364,0.17,+++, @ MIL,Pablo Lopez (R),Chase Anderson (R),W 185,O 9
57,Sunday Jun 2,MIA,W,9,3,,21-36,5,11,Richards,Strahm,,3:04,D,31650,0.15,++, @ SD,Trevor Richards (R),Matt Strahm (L),W 167,O 8
56,Saturday Jun 1,MIA,W,9,3,,20-36,5,12,Urena,Margevicius,,2:43,N,26858,0.12,+, @ SD,Jose Urena (R),Nick Margevicius (L),W 143,O 8
55,Friday May 31,MIA,L,2,5,,19-36,5,13,Lucchesi,Smith,Yates,2:59,N,25019,0.14,--, @ SD,Caleb Smith (L),Joey Lucchesi (L),L 156,P 7
54,Thursday May 30,MIA,L,1,3,,19-35,5,13,Moronta,Conley,Smith,3:05,D,7371,0.16,-, SF,Sandy Alcantara (R),Tyler Beede (R),L -103,U 7.5
53,Wednesday May 29,MIA,W,4,2,,19-34,5,13,Anderson,Bumgarner,Romo,2:38,N,6487,0.14,+++, SF,Pablo Lopez (R),Madison Bumgarner (L),W 106,U 7
52,Tuesday May 28,MIA,W,11,3,,18-34,5,13,Richards,Samardzija,,2:51,N,6407,0.12,++, SF,Trevor Richards (R),Jeff Samardzija (R),W -106,O 7.5
51,Monday May 27,MIA,W,3,2,,17-34,5,13,Urena,Barraclough,Romo,3:00,D,21048,0.1,+, @ WAS,Jose Urena (R),Max Scherzer (R),W 262,U 8
50,Sunday May 26,MIA,L,6,9,,16-34,5,13.5,Fedde,Smith,,3:06,D,26365,0.11,---, @ WAS,Caleb Smith (L),Erick Fedde (R),L 124,O 9
49,Saturday May 25,MIA,L,0,5,,16-33,5,13.5,Corbin,Alcantara,,2:25,D,33163,0.13,--, @ WAS,Sandy Alcantara (R),Patrick Corbin (L),L 205,U 9
48,Friday May 24,MIA,L,10,12,,16-32,5,12.5,Barraclough,Anderson,Doolittle,3:59,N,29173,0.17,-, @ WAS,Pablo Lopez (R),Kyle McGowin (R),L 135,O 9
47,Thursday May 23,MIA,W,5,2,,16-31,5,11.5,Kinley,Greene,Romo,2:58,D,17214,0.16,++++++, @ DET,Trevor Richards (R),Matthew Boyd (L),W 134,U 9
46,Wednesday May 22,MIA,W,6,3,,15-31,5,11.5,Urena,Farmer,Romo,3:01,N,14506,0.14,+++++, @ DET,Jose Urena (R),Daniel Norris (L),W 105,P 9
45,Tuesday May 21,MIA,W,5,4,11,14-31,5,12.5,Anderson,Jimenez,,3:29,N,15565,0.12,++++, @ DET,Caleb Smith (L),Spencer Turnbull (R),W -102,O 7.5
44,Sunday May 19,MIA,W,3,0,,13-31,5,13,Alcantara,Syndergaard,,1:59,D,15983,0.11,+++, NYM,Sandy Alcantara (R),Noah Syndergaard (R),W 176,U 7.5
43,Saturday May 18,MIA,W,2,0,,31-Dec,5,13,Lopez,Matz,Conley,2:38,D,13474,0.11,++, NYM,Pablo Lopez (R),Steven Matz (L),W 115,U 7.5
42,Friday May 17,MIA,W,8,6,,Nov-31,5,13,Richards,deGrom,Romo,3:01,N,9870,0.08,+, NYM,Trevor Richards (R),Jacob deGrom (R),W 210,O 6.5
41,Wednesday May 15,MIA,L,0,1,,31-Oct,5,13.5,Beeks,Urena,Castillo,3:06,N,5947,0.08,-------, TB,Jose Urena (R),Ryne Stanek (R),L 165,U 7.5
40,Tuesday May 14,MIA,L,0,4,,30-Oct,5,13.5,Morton,Smith,,2:52,N,6306,0.1,------, TB,Caleb Smith (L),Charlie Morton (R),L 129,U 6.5
39,Saturday May 11,MIA,L,1,4,,29-Oct,5,12.5,deGrom,Alcantara,Diaz,2:41,N,32501,0.18,-----, @ NYM,Sandy Alcantara (R),Jacob deGrom (R),L 276,U 7
38,Friday May 10,MIA,L,2,11,,28-Oct,5,11.5,Wheeler,Lopez,,3:04,N,25194,0.22,----, @ NYM,Pablo Lopez (R),Zack Wheeler (R),L 158,O 7.5
37,Thursday May 9,MIA,L,1,4,,27-Oct,5,11.5,Montgomery,Richards,,2:59,D,32301,0.22,---, @ CHC,Trevor Richards (R),Yu Darvish (R),L 176,U 10
36,Wednesday May 8,MIA,L-wo,2,3,11,26-Oct,5,11,Edwards,Quijada,,2:59,N,37241,0.24,--, @ CHC,Jose Urena (R),Kyle Hendricks (R),L 204,U 8
35,Tuesday May 7,MIA,L-wo,2,5,,25-Oct,5,10,Cishek,Conley,,3:10,N,35274,0.29,-, @ CHC,Caleb Smith (L),Jon Lester (L),L 151,O 6.5
34,Monday May 6,MIA,W,6,5,,24-Oct,5,9,Conley,Strop,Romo,3:26,N,34555,0.24,+, @ CHC,Sandy Alcantara (R),Cole Hamels (L),W 241,O 7
33,Sunday May 5,MIA,L,1,3,10,24-Sep,5,10,Tomlin,Guerrero,Jackson,3:29,D,11885,0.3,---, ATL,Pablo Lopez (R),Julio Teheran (R),L 107,U 7
32,Saturday May 4,MIA,L,2,9,,23-Sep,5,9,Soroka,Anderson,,3:15,N,10229,0.34,--, ATL,Trevor Richards (R),Mike Soroka (R),L 141,O 7.5
31,Friday May 3,MIA,L,2,7,,22-Sep,5,9,Toussaint,Urena,,3:08,N,7198,0.4,-, ATL,Jose Urena (R),Kevin Gausman (R),L 143,O 8
30,Wednesday May 1,MIA,W,4,2,,21-Sep,5,8,Smith,Kluber,Romo,2:38,N,7262,0.3,+, CLE,Caleb Smith (L),Corey Kluber (R),W 107,U 6.5
29,Tuesday Apr 30,MIA,L,4,7,,21-Aug,5,8,Bauer,Alcantara,Hand,2:56,N,7247,0.35,----, CLE,Sandy Alcantara (R),Trevor Bauer (R),L 184,O 7
28,Sunday Apr 28,MIA,L,1,5,,20-Aug,5,8,Eflin,Lopez,,2:34,D,39168,0.49,---, @ PHI,Pablo Lopez (R),Zach Eflin (R),L 146,U 7.5
27,Saturday Apr 27,MIA,L,9,12,,19-Aug,5,7,Arrieta,Richards,Neris,3:38,N,37868,0.54,--, @ PHI,Trevor Richards (R),Jake Arrieta (R),L 176,O 8
26,Friday Apr 26,MIA,L,0,4,,18-Aug,5,6,Eickhoff,Urena,,2:47,N,31158,0.55,-, @ PHI,Jose Urena (R),Jerad Eickhoff (R),L 167,U 8.5
25,Thursday Apr 25,MIA,W,3,1,10,17-Aug,5,5.5,Guerrero,Neris,Romo,3:35,N,32060,0.5,+, @ PHI,Caleb Smith (L),Aaron Nola (R),W 173,U 7.5
24,Wednesday Apr 24,MIA,L,2,6,,17-Jul,5,6,Wittgren,Conley,,2:53,D,13046,0.44,-, @ CLE,Sandy Alcantara (R),Jefry Rodriguez (R),L 141,U 9
23,Tuesday Apr 23,MIA,W,3,1,,16-Jul,5,6,Lopez,Ramirez,Romo,2:42,N,12963,0.41,+, @ CLE,Pablo Lopez (R),Carlos Carrasco (R),W 208,U 7.5
22,Sunday Apr 21,MIA,L,0,5,,16-Jun,5,6.5,Strasburg,Richards,,2:45,D,7412,0.49,-, WAS,Trevor Richards (R),Stephen Strasburg (R),L 146,U 7
21,Saturday Apr 20,MIA,W,9,3,,15-Jun,5,6.5,Urena,Scherzer,,3:12,N,9910,0.49,++, WAS,Jose Urena (R),Max Scherzer (R),W 209,O 7
20,Friday Apr 19,MIA,W,3,2,,15-May,5,6.5,Smith,Sanchez,Romo,2:52,N,8199,0.41,+, WAS,Caleb Smith (L),Anibal Sanchez (R),W 112,U 7.5
19,Wednesday Apr 17,MIA,L,0,6,,15-Apr,5,8,Hamels,Alcantara,,2:25,N,10247,0.42,----, CHC,Sandy Alcantara (R),Cole Hamels (L),L 145,U 8
18,Tuesday Apr 16,MIA,L,0,4,,14-Apr,5,7,Quintana,Lopez,,2:49,N,8137,0.46,---, CHC,Pablo Lopez (R),Jose Quintana (L),L 116,U 7.5
17,Monday Apr 15,MIA,L,2,7,,13-Apr,5,6.5,Darvish,Richards,,3:27,N,9888,0.5,--, CHC,Trevor Richards (R),Yu Darvish (R),L 119,O 8
16,Sunday Apr 14,MIA,L,1,3,14,12-Apr,5,6,Arano,Chen,Alvarez,4:38,D,15238,0.63,-, PHI,Jose Urena (R),Vince Velasquez (R),L 142,U 8.5
15,Saturday Apr 13,MIA,W,10,3,,11-Apr,5,5.5,Smith,Eflin,,3:01,N,13828,0.57,+, PHI,Caleb Smith (L),Zach Eflin (R),W 145,O 7.5
14,Friday Apr 12,MIA,L,1,9,,11-Mar,5,6.5,Arrieta,Alcantara,,2:46,N,9322,0.63,-----, PHI,Sandy Alcantara (R),Jake Arrieta (R),L 145,O 8.5
13,Thursday Apr 11,MIA,L,0,5,,10-Mar,5,5.5,Stephenson,Lopez,,2:51,D,11192,0.61,----, @ CIN,Pablo Lopez (R),Sonny Gray (R),L 155,U 8.5
12,Wednesday Apr 10,MIA,L,1,2,,9-Mar,5,4.5,Garrett,Steckenrider,Iglesias,2:47,N,11375,0.68,---, @ CIN,Trevor Richards (R),Tyler Mahle (R),L 136,U 9
11,Tuesday Apr 9,MIA,L,0,14,,8-Mar,5,4.5,Castillo,Urena,,2:47,N,10058,0.71,--, @ CIN,Jose Urena (R),Luis Castillo (R),L 167,O 8.5
10,Sunday Apr 7,MIA,L-wo,3,4,,7-Mar,5,4,Vizcaino,Conley,,2:33,D,32551,0.84,-, @ ATL,Caleb Smith (L),Sean Newcomb (L),L 152,U 8
9,Saturday Apr 6,MIA,W,4,2,,6-Mar,5,3.5,Romo,Minter,Conley,3:16,N,35618,0.81,+, @ ATL,Sandy Alcantara (R),Kyle Wright (R),W 159,U 8.5
8,Friday Apr 5,MIA,L,0,4,,6-Feb,5,4,Gausman,Lopez,,2:35,N,29218,0.83,----, @ ATL,Pablo Lopez (R),Kevin Gausman (R),L 150,U 8
7,Wednesday Apr 3,MIA,L,4,6,,5-Feb,5,3.5,deGrom,Richards,Diaz,3:07,N,7486,0.95,---, NYM,Trevor Richards (R),Jacob deGrom (R),L 181,O 6.5
6,Tuesday Apr 2,MIA,L,5,6,,4-Feb,3,3,Vargas,Urena,Wilson,3:23,N,5934,1.03,--, NYM,Jose Urena (R),Jason Vargas (L),L 129,O 8
5,Monday Apr 1,MIA,L,3,7,,3-Feb,3,2,Familia,Steckenrider,,3:10,N,6489,1.07,-, NYM,Caleb Smith (L),Steven Matz (L),L 119,O 7.5
4,Sunday Mar 31,MIA,W,3,0,,2-Feb,3,1.5,Alcantara,Gray,Romo,2:32,D,7559,0.9,++, COL,Sandy Alcantara (R),Jon Gray (R),W 143,U 7.5
3,Saturday Mar 30,MIA,W,7,3,,2-Jan,3,1.5,Lopez,Anderson,,3:00,N,7642,0.86,+, COL,Pablo Lopez (R),Tyler Anderson (L),W 116,O 7.5
2,Friday Mar 29,MIA,L,1,6,,0-2,5,1.5,Marquez,Conley,,3:04,N,6503,0.9,--, COL,Trevor Richards (R),German Marquez (R),L 146,P 7
1,Thursday Mar 28,MIA,L,3,6,,0-1,3,1,Freeland,Urena,,2:55,D,25423,0.93,-, COL,Jose Urena (R),Kyle Freeland (L),L 121,O 7.5
