game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
143,Saturday Sep 7,ATL,W,5,4,,89-54,1,up10.0,Teheran,Voth,Melancon,3:29,N,40467,0.21,+++++++++, WAS,Julio Teheran (R),Austin Voth (R),W -129,U 10.5
142,Friday Sep 6,ATL,W,4,3,,88-54,1,up 9.0,Keuchel,Corbin,Greene,3:20,N,37181,0.33,++++++++, WAS,Dallas Keuchel (L),Patrick Corbin (L),W -103,U 9
141,Thursday Sep 5,ATL,W,4,2,,87-54,1,up 8.0,Fried,Strasburg,,2:57,N,28831,0.5,+++++++, WAS,Max Fried (L),Stephen Strasburg (R),W 101,U 9.5
140,Tuesday Sep 3,ATL,W,7,2,,86-54,1,up 6.5,Foltynewicz,Font,,2:46,N,25427,0.4,++++++, TOR,Mike Foltynewicz (R),Wilmer Font (R),W -191,U 10.5
139,Monday Sep 2,ATL,W,6,3,,85-54,1,up 6.5,Soroka,Waguespack,Melancon,2:52,D,28987,0.52,+++++, TOR,Mike Soroka (R),Jacob Waguespack (R),W -254,U 10
138,Sunday Sep 1,ATL,W,5,3,,84-54,1,up 5.5,Teheran,Giolito,Melancon,3:08,N,41397,0.53,++++, CHW,Julio Teheran (R),Lucas Giolito (R),W -137,U 8.5
137,Saturday Aug 31,ATL,W,11,5,,83-54,1,up 5.5,Keuchel,Lopez,,3:52,N,36664,0.54,+++, CHW,Dallas Keuchel (L),Reynaldo Lopez (R),W -195,O 9
136,Friday Aug 30,ATL,W,10,7,,82-54,1,up 5.5,Fried,Nova,Melancon,3:28,N,39097,0.54,++, CHW,Max Fried (L),Ivan Nova (R),W -217,O 9
135,Wednesday Aug 28,ATL,W,9,4,,81-54,1,up 5.5,Jackson,Waguespack,,3:33,N,23112,0.59,+, @ TOR,Mike Foltynewicz (R),Jacob Waguespack (R),W -125,O 10
134,Tuesday Aug 27,ATL,L,1,3,,80-54,1,up 5.5,Godley,Soroka,Giles,2:57,N,24578,0.55,--, @ TOR,Mike Soroka (R),Wilmer Font (R),L -184,U 9.5
133,Monday Aug 26,ATL,L-wo,1,3,,80-53,1,up 5.5,Diaz,Swarzak,,3:27,D,29803,0.52,-, @ COL,Julio Teheran (R),Tim Melville (R),L -145,U 13.5
132,Sunday Aug 25,ATL,W,2,1,,80-52,1,up 6.0,Keuchel,Matz,Melancon,2:45,D,30170,0.59,++++++++, @ NYM,Dallas Keuchel (L),Steven Matz (L),W -102,U 8.5
131,Saturday Aug 24,ATL,W,9,5,,79-52,1,up 6.0,Tomlin,Brach,,3:14,N,38300,0.61,+++++++, @ NYM,Max Fried (L),Zack Wheeler (R),W -100,O 8
130,Friday Aug 23,ATL,W,2,1,14,78-52,1,up 6.0,Jackson,Familia,Melancon,4:37,N,31437,0.75,++++++, @ NYM,Mike Foltynewicz (R),Jacob deGrom (R),W 169,U 7.5
129,Thursday Aug 22,ATL,W-wo,3,2,,77-52,1,up 6.0,Melancon,Stanek,,2:40,N,23967,0.7,+++++, MIA,Mike Soroka (R),Sandy Alcantara (R),W -289,U 9
128,Wednesday Aug 21,ATL,W,5,0,,76-52,1,up 6.0,Teheran,Smith,,2:44,N,23537,0.7,++++, MIA,Julio Teheran (R),Caleb Smith (L),W -183,U 9.5
127,Tuesday Aug 20,ATL,W,5,1,,75-52,1,up 6.0,Keuchel,Kinley,,3:00,N,21271,0.81,+++, MIA,Dallas Keuchel (L),Elieser Hernandez (R),W -247,U 9.5
126,Sunday Aug 18,ATL,W,5,3,,74-52,1,up 5.5,Swarzak,May,Melancon,3:11,D,37617,0.81,++, LAD,Max Fried (L),Tony Gonsolin (R),W -127,U 10
125,Saturday Aug 17,ATL,W,4,3,,73-52,1,up 5.5,Newcomb,Ryu,Melancon,3:17,N,43619,0.95,+, LAD,Mike Foltynewicz (R),Hyun Jin Ryu (L),W 144,U 10
124,Friday Aug 16,ATL,L,3,8,,72-52,1,up 4.5,Kolarek,Newcomb,Urias,3:06,N,41413,0.82,--, LAD,Mike Soroka (R),Kenta Maeda (R),L -114,O 10
123,Thursday Aug 15,ATL,L,8,10,,72-51,1,up 5.5,Stroman,Teheran,Diaz,3:33,N,25424,0.78,-, NYM,Julio Teheran (R),Marcus Stroman (R),L -119,O 10
122,Wednesday Aug 14,ATL,W,6,4,,72-50,1,up 6.0,Martin,Lugo,Blevins,3:15,N,23582,0.9,+++, NYM,Dallas Keuchel (L),Steven Matz (L),W -143,P 10
121,Tuesday Aug 13,ATL,W,5,3,,71-50,1,up 6.0,Fried,Wheeler,Melancon,3:18,N,27627,0.99,++, NYM,Max Fried (L),Zack Wheeler (R),W -125,U 9.5
120,Sunday Aug 11,ATL,W,5,4,,70-50,1,up 6.5,Foltynewicz,Noesi,Jackson,3:23,D,12338,0.93,+, @ MIA,Mike Foltynewicz (R),Hector Noesi (R),W -199,P 9
119,Saturday Aug 10,ATL,L-wo,6,7,10,69-50,1,up 6.5,Brigham,Newcomb,,3:34,N,29720,0.83,-, @ MIA,Mike Soroka (R),Sandy Alcantara (R),L -250,O 8.5
118,Friday Aug 9,ATL,W,8,4,,69-49,1,up 6.5,Teheran,Smith,,3:19,N,8057,0.95,+, @ MIA,Julio Teheran (R),Caleb Smith (L),W -146,O 8
117,Thursday Aug 8,ATL,L,2,9,,68-49,1,up 5.5,Hernandez,Keuchel,,3:04,N,8948,0.9,-, @ MIA,Dallas Keuchel (L),Elieser Hernandez (R),L -206,O 8.5
116,Wednesday Aug 7,ATL,W,11,7,,68-48,1,up 6.0,Fried,Perez,,3:33,D,35682,0.93,++, @ MIN,Max Fried (L),Martin Perez (L),W -111,O 10.5
115,Tuesday Aug 6,ATL,W,12,7,,67-48,1,up 6.0,Foltynewicz,Berrios,,3:27,N,36721,1.04,+, @ MIN,Mike Foltynewicz (R),Jose Berrios (R),W 138,O 10
114,Monday Aug 5,ATL,L-wo,3,5,,66-48,1,up 6.0,May,Martin,,3:01,N,26722,0.87,--, @ MIN,Mike Soroka (R),Jake Odorizzi (R),L 101,U 10
113,Sunday Aug 4,ATL,L,4,6,10,66-47,1,up 7.0,Stephenson,Greene,Hernandez,3:54,D,33083,0.83,-, CIN,Julio Teheran (R),Sonny Gray (R),L -116,O 9
112,Saturday Aug 3,ATL,W-wo,5,4,10,66-46,1,up 7.0,Jackson,Hughes,,3:47,N,42085,0.91,+, CIN,Dallas Keuchel (L),Trevor Bauer (R),W -133,O 8.5
111,Friday Aug 2,ATL,L,2,5,,65-46,1,up 6.0,Wood,Gausman,Iglesias,3:01,N,37743,0.82,-, CIN,Kevin Gausman (R),Alex Wood (L),L -170,U 9.5
110,Thursday Aug 1,ATL,W,4,1,6,65-45,1,up 7.0,Fried,DeSclafani,,2:08,N,28677,0.91,+++, CIN,Max Fried (L),Anthony DeSclafani (R),W -168,U 9
109,Wednesday Jul 31,ATL,W,5,4,10,64-45,1,up 6.5,Newcomb,Doolittle,Tomlin,3:14,D,31576,1.42,++, @ WAS,Mike Soroka (R),Anibal Sanchez (R),W -125,U 9.5
108,Tuesday Jul 30,ATL,W,11,8,,63-45,1,up 5.5,Teheran,Fedde,,3:47,N,26566,1.64,+, @ WAS,Julio Teheran (R),Erick Fedde (R),W -105,O 11
107,Monday Jul 29,ATL,L,3,6,,62-45,1,up 4.5,Corbin,Keuchel,,3:23,N,24292,1.43,--, @ WAS,Dallas Keuchel (L),Patrick Corbin (L),L 132,U 9.5
106,Sunday Jul 28,ATL,L,4,9,,62-44,1,up 5.5,Nola,Gausman,,3:13,D,37037,1.14,-, @ PHI,Kevin Gausman (R),Aaron Nola (R),L 130,O 9.5
105,Saturday Jul 27,ATL,W,15,7,,62-43,1,up 6.5,Fried,Eflin,,3:34,N,39340,1.37,++, @ PHI,Max Fried (L),Zach Eflin (R),W -130,O 9.5
104,Friday Jul 26,ATL,W,9,2,,61-43,1,up 5.5,Newcomb,Arrieta,,3:02,N,31268,1.58,+, @ PHI,Mike Soroka (R),Jake Arrieta (R),W -135,O 9.5
103,Wednesday Jul 24,ATL,L,0,2,,60-43,1,up 4.0,Keller,Teheran,Kennedy,2:43,N,38865,1.07,--, KC,Julio Teheran (R),Brad Keller (R),L -196,U 9.5
102,Tuesday Jul 23,ATL,L,4,5,,60-42,1,up 5.5,Hill,Swarzak,Kennedy,3:30,N,36570,0.95,-, KC,Dallas Keuchel (L),Danny Duffy (L),L -226,U 9.5
101,Sunday Jul 21,ATL,W,7,1,,60-41,1,up 6.5,Gausman,Ross,,3:02,N,31848,1.43,+, WAS,Kevin Gausman (R),Joe Ross (R),W -158,U 11.5
100,Saturday Jul 20,ATL,L,3,5,,59-41,1,up 5.5,Sanchez,Soroka,Doolittle,3:14,N,42467,1.32,-, WAS,Mike Soroka (R),Anibal Sanchez (R),L -163,U 10
99,Friday Jul 19,ATL,W-wo,4,3,,59-40,1,up 6.5,Jackson,Rodney,,3:30,N,39344,1.44,+, WAS,Julio Teheran (R),Patrick Corbin (L),W 104,U 10
98,Thursday Jul 18,ATL,L,4,13,,58-40,1,up 5.5,Strasburg,Wright,,3:44,N,39363,1.24,---, WAS,Kyle Wright (R),Stephen Strasburg (R),L 135,O 10
97,Wednesday Jul 17,ATL,L,4,5,,58-39,1,up 6.5,Anderson,Keuchel,Hader,3:07,D,36928,0.84,--, @ MIL,Dallas Keuchel (L),Chase Anderson (R),L -120,U 10
96,Tuesday Jul 16,ATL,L,1,13,,58-38,1,up 6.5,Woodruff,Wilson,,3:29,N,31599,0.74,-, @ MIL,Bryse Wilson (R),Brandon Woodruff (R),L 147,O 9.5
95,Monday Jul 15,ATL,W,4,2,,58-37,1,up 7.5,Fried,Houser,Jackson,3:02,N,31850,0.87,+++++, @ MIL,Max Fried (L),Adrian Houser (R),W -102,U 10
94,Sunday Jul 14,ATL,W,4,1,,57-37,1,up 7.0,Soroka,Wingenter,Minter,3:15,D,34739,0.9,++++, @ SD,Mike Soroka (R),Cal Quantrill (R),W -148,U 9
93,Saturday Jul 13,ATL,W,7,5,10,56-37,1,up 6.0,Newcomb,Perdomo,Jackson,4:05,N,43148,1.02,+++, @ SD,Julio Teheran (R),Joey Lucchesi (L),W 109,O 8.5
92,Friday Jul 12,ATL,W,5,3,,55-37,1,up 6.0,Keuchel,Lamet,Jackson,3:03,N,34692,1.12,++, @ SD,Dallas Keuchel (L),Dinelson Lamet (R),W -102,U 9
91,Sunday Jul 7,ATL,W,4,3,,54-37,1,up 6.0,Keuchel,Richards,Jackson,3:02,D,30514,1.14,+, MIA,Dallas Keuchel (L),Trevor Richards (R),W -225,U 9.5
90,Saturday Jul 6,ATL,L,4,5,,53-37,1,up 6.0,Smith,Fried,Romo,3:19,D,37216,1,-, MIA,Max Fried (L),Caleb Smith (L),L -215,P 9
89,Friday Jul 5,ATL,W-wo,1,0,,53-36,1,up 6.5,Jackson,Quijada,,3:00,N,41102,1.1,+++, MIA,Julio Teheran (R),Jordan Yamamoto (R),W -183,U 10
88,Thursday Jul 4,ATL,W,12,6,,52-36,1,up 6.0,Minter,Eflin,,3:32,N,40633,1.54,++, PHI,Mike Soroka (R),Zach Eflin (R),W -157,O 10.5
87,Wednesday Jul 3,ATL,W,9,2,,51-36,1,up 5.5,Wilson,Pivetta,,2:36,N,40147,1.71,+, PHI,Bryse Wilson (R),Nick Pivetta (R),W -135,U 11.5
86,Tuesday Jul 2,ATL,L,0,2,,50-36,1,up 4.5,Nola,Keuchel,Neris,2:48,N,40180,1.55,--, PHI,Dallas Keuchel (L),Aaron Nola (R),L -103,U 10
85,Sunday Jun 30,ATL,L,5,8,,50-35,1,up 5.5,Font,Newcomb,Diaz,3:27,N,31743,1.1,-, @ NYM,Max Fried (L),Noah Syndergaard (R),L -105,O 8.5
84,Saturday Jun 29,ATL,W,5,4,,50-34,1,up 6.5,Newcomb,Lugo,Jackson,3:39,D,40809,1.26,++, @ NYM,Julio Teheran (R),Steven Matz (L),W -111,U 10.5
83,Friday Jun 28,ATL,W,6,2,,49-34,1,up 5.5,Soroka,deGrom,,2:55,N,36421,1.31,+, @ NYM,Mike Soroka (R),Jacob deGrom (R),W 133,P 8
82,Thursday Jun 27,ATL,L,7,9,,48-34,1,up 4.5,Chatwood,Tomlin,Kimbrel,3:02,D,39823,1.2,-, @ CHC,Bryse Wilson (R),Tyler Chatwood (R),L 101,O 10.5
81,Wednesday Jun 26,ATL,W,5,3,,48-33,1,up 5.5,Keuchel,Darvish,Minter,3:02,N,38017,1.23,++, @ CHC,Dallas Keuchel (L),Yu Darvish (R),W 115,U 9.5
80,Tuesday Jun 25,ATL,W,3,2,,47-33,1,up 5.5,Fried,Montgomery,Jackson,2:59,N,37333,1.29,+, @ CHC,Max Fried (L),Adbert Alzolay (R),W -106,U 12
79,Monday Jun 24,ATL,L,3,8,,46-33,1,up 5.5,Lester,Teheran,,3:01,N,37603,1.23,-, @ CHC,Julio Teheran (R),Jon Lester (L),L 125,U 12
78,Sunday Jun 23,ATL,W,4,3,10,46-32,1,up 6.5,Minter,Rainey,Jackson,3:09,D,34256,1.5,++, @ WAS,Mike Soroka (R),Austin Voth (R),W -147,U 10.5
77,Saturday Jun 22,ATL,W,13,9,,45-32,1,up 5.5,Minter,Ross,,3:42,N,37492,1.64,+, @ WAS,Mike Foltynewicz (R),Anibal Sanchez (R),W -104,O 10.5
76,Friday Jun 21,ATL,L,3,4,,44-32,1,up 4.5,Strasburg,Keuchel,Suero,3:01,N,34212,1.56,-, @ WAS,Dallas Keuchel (L),Stephen Strasburg (R),L 129,U 9.5
75,Wednesday Jun 19,ATL,W,7,2,,44-31,1,up 4.0,Fried,Matz,,3:03,N,37104,1.57,+, NYM,Max Fried (L),Steven Matz (L),W -150,U 10
74,Tuesday Jun 18,ATL,L,2,10,,43-31,1,up 2.5,deGrom,Teheran,,3:04,N,24791,1.48,-, NYM,Julio Teheran (R),Jacob deGrom (R),L 107,O 8.5
73,Monday Jun 17,ATL,W,12,3,,43-30,1,up 3.0,Soroka,Wheeler,,3:05,N,24660,1.55,++, NYM,Mike Soroka (R),Zack Wheeler (R),W -129,O 9
72,Sunday Jun 16,ATL,W,15,1,,42-30,1,up 2.5,Foltynewicz,Velasquez,,3:09,D,40855,1.88,+, PHI,Mike Foltynewicz (R),Vince Velasquez (R),W -162,O 10.5
71,Saturday Jun 15,ATL,L,5,6,,41-30,1,up 1.5,Ramos,Jackson,Neris,3:55,N,43593,1.85,-, PHI,Sean Newcomb (L),Aaron Nola (R),L -104,O 9.5
70,Friday Jun 14,ATL,W-wo,9,8,,41-29,1,up 2.5,Blevins,Neris,,3:30,N,41975,1.89,++++++++, PHI,Max Fried (L),Nick Pivetta (R),W -132,O 9.5
69,Thursday Jun 13,ATL,W,6,5,,40-29,1,up 1.5,Teheran,Musgrove,Jackson,3:30,D,35108,1.37,+++++++, PIT,Julio Teheran (R),Joe Musgrove (R),W -150,O 9.5
68,Wednesday Jun 12,ATL,W-wo,8,7,11,39-29,1,up 1.0,Webb,Feliz,,4:17,N,24428,1.44,++++++, PIT,Mike Soroka (R),Mitch Keller (R),W -210,O 9
67,Tuesday Jun 11,ATL,W,7,5,8,38-29,1,Tied,Toussaint,Archer,Swarzak,3:15,N,31305,1.44,+++++, PIT,Mike Foltynewicz (R),Chris Archer (R),W -142,O 9.5
66,Monday Jun 10,ATL,W,13,7,,37-29,1,Tied,Newcomb,McRae,Webb,3:35,N,21822,1.37,++++, PIT,Kevin Gausman (R),Joe Musgrove (R),W -140,O 10
65,Sunday Jun 9,ATL,W,7,6,12,36-29,2,1,Winkler,Conley,Tomlin,4:26,D,10959,1.34,+++, @ MIA,Max Fried (L),Pablo Lopez (R),W -136,O 7.5
64,Saturday Jun 8,ATL,W,1,0,,35-29,2,2,Teheran,Richards,Jackson,2:57,D,9771,1.3,++, @ MIA,Julio Teheran (R),Trevor Richards (R),W -151,U 7.5
63,Friday Jun 7,ATL,W,7,1,,34-29,2,2,Soroka,Urena,,2:42,N,8589,1.3,+, @ MIA,Mike Soroka (R),Jose Urena (R),W -184,O 7.5
62,Thursday Jun 6,ATL,L,1,6,,33-29,2,2,Archer,Foltynewicz,Vazquez,2:58,D,18232,1.31,--, @ PIT,Mike Foltynewicz (R),Chris Archer (R),L -117,U 9.5
61,Wednesday Jun 5,ATL,L,4,7,,33-28,2,1.5,Musgrove,Gausman,,2:48,N,13904,1.33,-, @ PIT,Kevin Gausman (R),Joe Musgrove (R),L -133,O 9.5
60,Tuesday Jun 4,ATL,W,12,5,,33-27,2,0.5,Winkler,Crick,,3:46,N,13963,1.35,+++, @ PIT,Max Fried (L),Steven Brault (L),W -197,O 9.5
59,Sunday Jun 2,ATL,W,7,4,,32-27,2,1,Toussaint,Jimenez,,3:18,D,28978,1.25,++, DET,Julio Teheran (R),Matthew Boyd (L),W -173,O 9
58,Saturday Jun 1,ATL,W,10,5,,31-27,2,2,Soroka,Norris,Jackson,2:51,D,37108,1.2,+, DET,Mike Soroka (R),Daniel Norris (L),W -261,O 9
