game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
71,Thursday Jun 17,SDP,W-wo,6,4,,39-32,3,6,Johnson,Garrett,,3:07,N,40362,1.15,+,†CIN,Joe Musgrove†(R),Wade Miley†(L),W†-177,O†7.5
70,Wednesday Jun 16,SDP,L-wo,7,8,,38-32,3,6,Estevez,Adams,,3:27,D,18798,1.1,---,†@ COL,Blake Snell†(L),Kyle Freeland†(L),L†-199,O†12.5
69,Tuesday Jun 15,SDP,L,4,8,,38-31,3,5,Estevez,Hill,,3:26,N,22871,1.16,--,†@ COL,Yu Darvish†(R),Chi Chi Gonzalez†(R),L†-232,O†11.5
68,Monday Jun 14,SDP,L,2,3,,38-30,3,4,Gomber,Lamet,Bard,2:37,N,23027,1.23,-,†@ COL,Dinelson Lamet†(R),Austin Gomber†(L),L†-148,U†11.5
67,Sunday Jun 13,SDP,W,7,3,,38-29,3,3,Paddack,Familia,,3:24,D,19581,1.24,+,†@ NYM,Chris Paddack†(R),Joey Lucchesi†(L),W†-124,O†8
66,Saturday Jun 12,SDP,L,1,4,,37-29,3,4,Stroman,Musgrove,Diaz,2:43,D,25463,1.27,----,†@ NYM,Joe Musgrove†(R),Marcus Stroman†(R),L†-134,U†7
65,Friday Jun 11,SDP,L,2,3,,37-28,3,3.5,deGrom,Snell,Diaz,3:00,N,26637,1.3,---,†@ NYM,Blake Snell†(L),Jacob deGrom†(R),L†152,U†6
64,Wednesday Jun 9,SDP,L,1,3,,37-27,3,2.5,Brothers,Darvish,Kimbrel,2:58,D,16482,1.39,--,†CHC,Yu Darvish†(R),Jake Arrieta†(R),L†-261,U†8
63,Tuesday Jun 8,SDP,L,1,7,,37-26,2,2.5,Davies,Lamet,,2:51,N,16207,1.33,-,†CHC,Dinelson Lamet†(R),Zach Davies†(R),L†-186,U†8.5
62,Monday Jun 7,SDP,W,9,4,,37-25,2,1.5,Weathers,Alzolay,,3:42,N,16045,1.36,+,†CHC,Ryan Weathers†(L),Adbert Alzolay†(R),W†-113,O†8
