game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
21,Sunday Apr 21,PHI,L,1,4,,9-Dec,1,up 1.0,Gray,Eickhoff,,2:58,D,28287,1.14,-, @ COL,Jerad Eickhoff (R),Jon Gray (R),L 133,U 11
20,Saturday Apr 20,PHI,W,8,5,,8-Dec,1,up 1.0,Nola,Senzatela,Neris,3:25,N,40530,1.12,+, @ COL,Aaron Nola (R),Antonio Senzatela (R),W -138,O 10.5
19,Friday Apr 19,PHI,L-wo,3,4,12,8-Nov,1,Tied,Bettis,Nicasio,,4:26,N,35423,1.13,--, @ COL,Vince Velasquez (R),German Marquez (R),L 131,U 10.5
18,Thursday Apr 18,PHI,L,2,6,,7-Nov,1,up 1.0,Freeland,Eflin,,3:03,N,27562,1.17,-, @ COL,Zach Eflin (R),Kyle Freeland (L),L 107,U 11
17,Wednesday Apr 17,PHI,W,3,2,,6-Nov,1,up 1.5,Arrieta,Wheeler,Neris,2:52,D,39861,1.32,++, NYM,Jake Arrieta (R),Zack Wheeler (R),W -110,U 8.5
16,Tuesday Apr 16,PHI,W,14,3,,6-Oct,1,up 0.5,Pivetta,Matz,Eickhoff,3:07,N,43933,1.28,+, NYM,Nick Pivetta (R),Steven Matz (L),W -113,O 9
15,Monday Apr 15,PHI,L,6,7,11,6-Sep,2,0.5,Avilan,Neshek,Diaz,4:29,N,32423,1.33,-, NYM,Aaron Nola (R),Noah Syndergaard (R),L -114,O 7.5
14,Sunday Apr 14,PHI,W,3,1,14,5-Sep,1,up 0.5,Arano,Chen,Alvarez,4:38,D,15238,1.15,+, @ MIA,Vince Velasquez (R),Jose Urena (R),W -154,U 8.5
13,Saturday Apr 13,PHI,L,3,10,,5-Aug,2,0.5,Smith,Eflin,,3:01,N,13828,1.17,-, @ MIA,Zach Eflin (R),Caleb Smith (L),L -157,O 7.5
12,Friday Apr 12,PHI,W,9,1,,4-Aug,2,0.5,Arrieta,Alcantara,,2:46,N,9322,1.1,+, @ MIA,Jake Arrieta (R),Sandy Alcantara (R),W -157,O 8.5
11,Wednesday Apr 10,PHI,L,1,15,,4-Jul,1,Tied,Hellickson,Pivetta,,3:35,N,30805,1.24,--, WAS,Nick Pivetta (R),Jeremy Hellickson (R),L -156,O 9
10,Tuesday Apr 9,PHI,L,6,10,10,3-Jul,1,up 0.5,Doolittle,Alvarez,,3:51,N,38073,1.28,-, WAS,Aaron Nola (R),Stephen Strasburg (R),L -142,O 8
9,Monday Apr 8,PHI,W,4,3,,2-Jul,1,up 1.0,Dominguez,Sanchez,Neshek,2:32,N,28212,1.25,++, WAS,Vince Velasquez (R),Anibal Sanchez (R),W -138,U 9.5
8,Sunday Apr 7,PHI,W,2,1,,2-Jun,1,up 0.5,Eflin,Berrios,Neris,2:47,D,39735,1.02,+, MIN,Zach Eflin (R),Jose Berrios (R),W -132,U 8.5
7,Saturday Apr 6,PHI,L,2,6,,2-May,2,0.5,Pineda,Arrieta,,2:50,D,44693,1.11,-, MIN,Jake Arrieta (R),Michael Pineda (R),L -148,U 8.5
6,Friday Apr 5,PHI,W,10,4,,1-May,1,up 0.5,Pivetta,Odorizzi,,3:31,N,28021,1.04,+, MIN,Nick Pivetta (R),Jake Odorizzi (R),W -154,O 8
5,Wednesday Apr 3,PHI,L-wo,8,9,,1-Apr,2,0.5,Doolittle,Robertson,,3:53,D,23050,1.24,-, @ WAS,Aaron Nola (R),Anibal Sanchez (R),L -131,O 8
4,Tuesday Apr 2,PHI,W,8,2,,Apr-00,1,up 0.5,Eflin,Scherzer,,3:30,N,35920,1.22,++++, @ WAS,Zach Eflin (R),Max Scherzer (R),W 166,O 7
3,Sunday Mar 31,PHI,W,5,1,,Mar-00,1,up 1.0,Arrieta,Wright,,3:17,N,41410,1.17,+++, ATL,Jake Arrieta (R),Kyle Wright (R),W -143,U 8
2,Saturday Mar 30,PHI,W,8,6,,Feb-00,1,Tied,Morgan,Parsons,,3:27,D,44597,1.12,++, ATL,Nick Pivetta (R),Bryse Wilson (R),W -141,O 9.5
1,Thursday Mar 28,PHI,W,10,4,,Jan-00,1,Tied,Nola,Teheran,,3:04,D,44469,1.09,+, ATL,Aaron Nola (R),Julio Teheran (R),W -181,O 8
